id,legislator_id,address,suite,city,state,zip,latitude,longitude,phone,fax,building,hours
B000944-cincinnati,B000944,425 Walnut St.,Suite 2310,Cincinnati,OH,45202,39.1007745,-84.5120256,513-684-1021,513-684-1029,,
B000944-cleveland,B000944,801 W. Superior Ave.,Suite 1400,Cleveland,OH,44113,41.4964399,-81.6975439,216-522-7272,216-522-2239,,
B000944-columbus,B000944,200 N. High St.,Room 614,Columbus,OH,43215,39.9666883,-83.000974,614-469-2083,614-469-2171,,
B000944-lorain,B000944,200 W. Erie Ave.,Suite 312,Lorain,OH,44052,41.4685695,-82.1792684,440-242-4100,440-242-4108,,
B001135-asheville,B001135,151 Patton Ave.,Suite 204,Asheville,NC,28801,35.594066,-82.55792,828-350-2437,828-350-2439,Federal Building,By appointment only
B001135-rocky_mount,B001135,100 Coast Line St.,Room 210,Rocky Mount,NC,27804,35.9379802,-77.7977748,252-977-9522,252-977-7902,,By appointment only.
B001135-wilmington,B001135,201 N. Front St.,Suite 809,Wilmington,NC,28401,34.2376985,-77.9492582,888-848-1833,910-251-7975,,
B001135-winston_salem,B001135,2000 W. First St.,Suite 508,Winston-Salem,NC,27104,36.0960116,-80.27480249999999,336-631-5125,336-725-4493,,
B001230-ashland,B001230,PO Box 61,,Ashland,WI,54806-0061,46.54692,-90.80933,715-450-3754,,,
B001230-eau_claire,B001230,500 South Barstow St.,Suite LL2,Eau Claire,WI,54701,44.8088044,-91.5330934,715-832-8424,,,
B001230-green_bay,B001230,1039 W. Mason,Suite 119,Green Bay,WI,54303,44.5151063,-88.0413549,920-498-2668,,,
B001230-la_crosse,B001230,205 5th Avenue South,Room 216,La Crosse,WI,54601,43.8109182,-91.24976400000001,608-796-0045,,,
B001230-madison,B001230,30 W. Mifflin St.,Suite 700,Madison,WI,53703,43.07506559999999,-89.38647139999999,608-264-5338,,,
B001230-milwaukee,B001230,633 W. Wisconsin Ave.,Suite 1920,Milwaukee,WI,53203,43.0388214,-87.9200848,414-297-4451,,,
B001230-wausau,B001230,2100 Stewart Ave.,Suite 250 B,Wausau,WI,54401,44.9591474,-89.6628755,715-261-2611,,,
B001236-el_dorado,B001236,106 W. Main St.,Suite 104,El Dorado,AR,71730,33.2120448,-92.664046,870-863-4641,870-863-4105,,
B001236-fort_smith,B001236,1120 Garrison Ave.,Suite 2B,Fort Smith,AR,72901,35.383512,-94.42033099999999,479-573-0189,479-573-0553,,
B001236-jonesboro,B001236,300 S. Church St.,Suite 400,Jonesboro,AR,72401,35.8404281,-90.70368549999999,870-268-6925,870-268-6887,,
B001236-little_rock,B001236,1401 W. Capitol Ave.,Suite 155,Little Rock,AR,72201,34.7456872,-92.2865752,501-372-7153,501-372-7163,,
B001236-lowell,B001236,213 W. Monroe,Suite N,Lowell,AR,72745,36.2535183,-94.1393049,479-725-0400,479-725-0408,,
B001236-mountain_home,B001236,1001 Hwy 62 East,Suite 11,Mountain Home,AR,72653,36.3499306,-92.3729619,870-424-0129,870-424-0141,,
B001236-stuttgart,B001236,620 E. 22nd St.,Suite 204,Stuttgart,AR,72160,34.478784,-91.54664090000001,870-672-6941,870-672-6962,,
B001243-chattanooga,B001243,10 West M. L. King Blvd,6th Floor,Chattanooga,TN,37402,35.0455268,-85.3100155,423-541-2939,423-541-2944,,
B001243-jackson,B001243,109 S Highland Ave,Suite 218,Jackson,TN,38301,,,731-660-3971,731-660-3978,,
B001243-jonesborough,B001243,1105 E Jackson Blvd,Suite 4,Jonesborough,TN,37659-4997,36.30306,-82.51024,423-753-4009,423-788-0250,,
B001243-knoxville,B001243,800 Market St,Suite 121,Knoxville,TN,37902-2327,35.96225,-83.91771,865-540-3781,865-540-7952,,
B001243-memphis,B001243,100 Peabody Pl,Suite 1125,Memphis,TN,38103-3654,35.14132,-90.05396,901-527-9199,901-527-9515,,
B001243-nashville,B001243,3322 West End Avenue,Suite 610,Nashville,TN,37203,,,629-800-6600,615-298-2148,,
B001248-lake_dallas,B001248,2000 S. Stemmons Fwy.,Suite 200,Lake Dallas,TX,75065,33.1213325,-97.0327015,940-497-5031,940-497-5067,,
B001251-durham,B001251,2741 Campus Walk Ave.,Suite 300,Durham,NC,27705,36.0098844,-78.9533296,919-908-0164,919-908-0169,Bldg. 400,
B001251-wilson,B001251,216 NE Nash St.,Suite B,Wilson,NC,27893,35.728383,-77.9131079,252-237-9816,252-291-0356,,
B001257-new_port_richey,B001257,7132 Little Rd.,,New Port Richey,FL,34654,28.261156,-82.674347,727-232-2921,727-232-2923,,
B001257-tarpon_springs,B001257,38500 U.S. Hwy 19 North,BB-038,Tarpon Springs,FL,34689,28.121418,-82.74161199999999,727-940-5860,727-940-5861,St. Petersburg College,
B001260-bradenton,B001260,1051 Manatee Ave West,Suite 305,Bradenton,FL,34205,27.4945988,-82.5724073,941-747-9081,941-748-1564,,
B001260-sarasota,B001260,111 S. Orange Ave.,"Floor 2R, Suite 202W",Sarasota,FL,34236,27.3353999,-82.5382987,941-951-6643,941-951-2972,,
B001261-casper,B001261,100 E. B St.,Suite 2004,Casper,WY,82601,42.8524124,-106.3248373,307-261-6413,,,
B001261-cheyenne,B001261,2120 Capitol Ave.,Suite 2013,Cheyenne,WY,82001,41.1374591,-104.8189674,307-772-2451,,,
B001261-riverton,B001261,324 E. Washington Ave.,,Riverton,WY,82501,43.0238609,-108.386731,307-856-6642,,,
B001261-rock_springs,B001261,1575 Dewar Drive,Suite 218,Rock Springs,WY,82901,41.5742346,-109.2423116,307-362-5012,,Commerce Bank,
B001261-sheridan,B001261,2 N. Main St.,Suite 206,Sheridan,WY,82801,44.7974506,-106.9562525,307-672-6456,,,
B001267-alamosa,B001267,609 Main St.,Suite 110,Alamosa,CO,81101,37.4685012,-105.8659434,719-587-0096,,,
B001267-colorado_springs,B001267,409 N. Tejon St.,Suite 107,Colorado Springs,CO,80903,38.8400247,-104.8228748,719-328-1100,719-328-1129,,
B001267-denver,B001267,1244 Speer Blvd.,,Denver,CO,80204,39.7364704,-104.994978,303-455-7600,303-455-8851,Cesar E. Chavez Memorial Building,
B001267-durango,B001267,835 E. 2nd Ave.,Suite 206,Durango,CO,81301,37.2725939,-107.8799634,970-259-1710,,,
B001267-fort_collins,B001267,1200 S. College Ave.,Suite 211,Fort Collins,CO,80524,40.5716714,-105.0766516,970-224-2200,970-224-2205,,
B001267-grand_junction,B001267,225 N. 5th St.,Suite 511,Grand Junction,CO,81501,39.0688046,-108.5648398,970-241-6631,,,
B001267-pueblo,B001267,129 W. B St.,,Pueblo,CO,81003,38.2795281,-104.508253,719-542-7550,,,
B001270-los_angeles,B001270,4929 Wilshire Blvd.,Suite 650,Los Angeles,CA,90010,34.06264360000001,-118.3381029,323-965-1422,323-965-1113,,
B001274-decatur,B001274,302 Lee St.,Room 86,Decatur,AL,35601,34.6069984,-86.9849204,256-355-9400,256-355-9406,,
B001274-florence,B001274,102 S. Court St.,Suite 310,Florence,AL,35630,34.8002305,-87.6771285,256-718-5155,256-718-5156,,
B001274-huntsville,B001274,2101 W. Clinton Ave.,Suite 302,Huntsville,AL,35805,34.7252133,-86.5977423,256-551-0190,256-551-0194,,
B001275-evansville,B001275,420 Main St.,Suite 1402,Evansville,IN,47708,37.9722214,-87.5705016,812-465-6484,812-422-4761,,Monday-Friday 8:30am-5:00pm CT
B001275-jasper,B001275,610 Main St.,First Floor Small Conference Room,Jasper,IN,47547,38.3919787,-86.9304537,,,,1st and 3rd Tuesday of the month 10:00am - 1:00pm ET
B001275-terre_haute,B001275,901 Wabash Ave.,Suite 140,Terre Haute,IN,47807,39.466224,-87.4042291,812-232-0523,812-232-0526,,8:30am - 5:00pm ET
B001275-vincennes,B001275,1500 N. Chestnut St.,,Vincennes,IN,47591,38.6911192,-87.52073879999999,,,,1st and 3rd Wednesday of the month 9:00am - 12:00pm ET
B001277-bridgeport,B001277,915 Lafayette Blvd.,Suite 304,Bridgeport,CT,06604,41.1749972,-73.1931954,203-330-0598,203-330-0608,,
B001277-hartford,B001277,90 State House Sq.,10th Floor,Hartford,CT,06103,41.7665316,-72.6719747,860-258-6940,860-258-6958,,
B001278-beaverton,B001278,12725 SW Millikan Way,Suite 220,Beaverton,OR,97005,45.4900502,-122.8078224,503-469-6010,503-469-6018,,Monday-Friday 9:00AM-5:00PM
B001281-columbus,B001281,471 E. Broad St.,Suite 1100,Columbus,OH,43215,39.9633834,-82.9878075,614-220-0003,614-220-5640,,Monday-Friday 9:00am-5:00pm
B001282-lexington,B001282,2709 Old Rosebud Rd.,,Lexington,KY,40509,38.0283634,-84.4193762,859-219-1366,,,M-F 9:00-5:00pm
B001285-oxnard,B001285,201 East Fourth St.,Suite 209B,Oxnard,CA,93030,34.1993342,-119.1783991,805-379-1779,805-379-1799,,Call to make an appointment
B001285-thousand_oaks,B001285,223 E. Thousand Oaks Blvd.,Suite 220,Thousand Oaks,CA,91360,34.1794905,-118.8726791,805-379-1779,805-379-1799,,"Monday-Thursday 9:00am-5:30pm PT,Friday 9:00am-5:00pm PT"
B001286-peoria,B001286,820 SW Adams St,,Peoria,IL,61602,40.6855433,-89.5987706,309-966-1813,,,
B001286-rock_island,B001286,2401 4th Ave.,,Rock Island,IL,61201,41.5089919,-90.5662359,309-786-3406,309-786-3720,,
B001286-rockford,B001286,119 N. Church St.,Suite 207 & 208,Rockford,IL,61101,42.2720192,-89.0952944,815-968-8011,,,
B001287-sacramento,B001287,8950 Cal Center Dr.,Suite 100,Sacramento,CA,95826,38.5553768,-121.3738588,916-635-0505,916-635-0514,Building 3,M-F 9am -6pm
B001288-camden,B001288,2 Riverside Dr.,Suite 505,Camden,NJ,08101,39.9443128,-75.1296174,856-338-8922,856-338-8936,One Port Center,
B001288-newark,B001288,One Gateway Center,23rd Floor,Newark,NJ,07102,40.7344571,-74.1657213,973-639-8700,973-639-8723,,
B001291-deer_park,B001291,203 Ivy Ave.,Suite 600,Deer Park,TX,77536,29.7089323,-95.12126239999999,832-780-0966,832-780-0964,,
B001291-orange,B001291,1201 Childers Rd.,,Orange,TX,77630,30.0800116,-93.7314932,409-883-8075,409-886-9918,,
B001291-woodville,B001291,100 W. Bluff Dr.,,Woodville,TX,75979,30.7753424,-94.41539859999999,409-331-8066,,Tyler County Courthouse,
B001292-arlington,B001292,1901 N Moore St,Suite 1108,Arlington,VA,22209-1728,38.8976,-77.07119,703-658-5403,703-658-5408,,
B001295-alton,B001295,101 E. Third St.,,Alton,IL,62002,38.8906416,-90.18395149999999,618-622-0766,,,First Thursday of every month from 9:00 a.m. until 11:00 a.m.
B001295-carbondale,B001295,300 E. Main St.,Suite 4,Carbondale,IL,62901,37.7277729,-89.2134992,618-457-5787,618-457-2990,Hunter Building,
B001295-granite_city,B001295,2000 Edison Ave.,,Granite City,IL,62040,38.7015611,-90.14887449999999,618-622-0766,,City Hall,The third Thursday of each month from 1:00 p.m. to 4:00 p.m.
B001295-mt__vernon,B001295,1100 Main St.,,Mt. Vernon,IL,62864,38.317936,-88.9049835,618-513-5294,,Mt. Vernon City Hall,Tuesdays 9 a.m. to 12 p.m.
B001295-o_fallon,B001295,302 West State St.,,O'Fallon,IL,62269,38.5925108,-89.9141608,618-622-0766,618-622-0774,,
B001296-philadelphia,B001296,5675 N. Front St.,Suite 180,Philadelphia,PA,19120,40.0381812,-75.1172342,267-335-5643,267-437-3886,One & Olney Shopping Center,"8:30am-4:30pm, M-F"
B001296-philadelphia-1,B001296,8572 Bustleton Ave.,,Philadelphia,PA,19152,40.0730543,-75.049904,215-335-3355,215-856-3734,,"8:30am-4:30pm, M-F"
B001296-philadelphia-2,B001296,2630 Memphis St,Ste 180,Philadelphia,PA,19125-2344,39.98239,-75.11967,215-426-4616,215-426-7741,,"8:30am-4:30pm, M-F"
B001297-castle_rock,B001297,900 Castleton Rd.,Suite 112,Castle Rock,CO,80109,39.4092665,-104.8684125,720-639-9165,,,
B001297-greeley,B001297,1023 39th Ave.,Unit B,Greeley,CO,80634,40.4205693,-104.7446355,970-702-2136,970-702-2951,,
B001298-omaha,B001298,13906 Gold Circle,Suite 101,Omaha,NE,68144,41.23509809999999,-96.1296555,402-938-0300,402-763-4947,,
B001299-fort_wayne,B001299,1300 S. Harrison St.,,Fort Wayne,IN,46802,41.0737372,-85.14045349999999,260-702-4750,,,
B001300-carson,B001300,701 E. Carson St.,,Carson,CA,90745,33.8322643,-118.2630272,310-831-1799,,Carson City Hall,"Wednesday and Thursday, 9:00 a.m. - 5:00 p.m. Please call for an appointment"
B001300-compton,B001300,205 S. Willowbrook Ave.,,Compton,CA,90220,33.8946744,-118.226945,310-831-1799,,Compton City Hall,Tuesday 9:00 a.m. - 5:00 p.m. Please call for an appointment
B001300-san_pedro,B001300,302 W. Fifth St.,Suite 201,San Pedro,CA,90731,33.7398775,-118.2839378,310-831-1799,,,M-F 9:00 a.m. - 5:00 p.m. Please call for an appointment
B001300-south_gate,B001300,8650 California Ave.,,South Gate,CA,90280,33.9556898,-118.2051037,310-831-1799,,South Gate City Hall,"Tuesday and Thursday, 9:00 a.m. - 5:00 p.m.  Please call for an appointment"
B001301-marquette,B001301,1500 W. Washington St.,Suite 2,Marquette,MI,49855,46.54703800000001,-87.4227729,906-273-2227,,,
B001301-traverse_city,B001301,1396 Douglas Drive,Suite 22B,Traverse City,MI,49696,44.7066718,-85.5961732,231-944-7633,,,
B001302-mesa,B001302,2509 S. Power Rd.,Suite 204,Mesa,AZ,85209,33.3712904,-111.6870648,480-699-8239,,,
B001303-georgetown,B001303,28 The Circle,Suite 2,Georgetown,DE,19947,38.6903978,-75.3887458,302-858-4773,,,
B001303-wilmington,B001303,1105 N. Market St.,Suite 400,Wilmington,DE,19801,39.7473432,-75.5471367,302-830-2330,,,
B001304-annapolis,B001304,2666 Riva Rd,Suite 120,Annapolis,MD,21401,38.9746861,-76.5612782,410-266-3249,,,"Tuesday and Thursday, 9 a.m. - 1 p.m., or by appointment"
B001304-largo,B001304,9701 Apollo Dr.,Suite 103,Largo,MD,20774,38.9044794,-76.8406561,301-458-2600,,,
B001305-advance,B001305,128 Peachtree Ln.,Suite A,Advance,NC,27006,36.0038879,-80.4394348,336-998-1313,,,
B001305-high_point,B001305,4000 Piedmont Pkwy,Suite 131,High Point,NC,27265,36.0515139,-79.9611368,336-858-5013,,,
B001306-worthington,B001306,250 E. Wilson Bridge Rd.,Suite 100,Worthington,OH,43085,40.1107173,-83.00746439999999,614-523-2555,,,
B001307-danville,B001307,355 S Washington St,Suite 210,Danville,IN,46122-1779,39.75697,-86.52325,317-563-5567,,,
B001309-knoxville,B001309,800 Market St,Suite 110,Knoxville,TN,37902-2327,35.96225,-83.91771,865-523-3772,,,
B001309-maryville,B001309,341 Court St,,Maryville,TN,37804-5906,35.75488,-83.96911,865-984-5464,,,
B001310-fort_wayne,B001310,203 E Berry St,702B,Fort Wayne,IN,46802-2724,41.0796,-85.13801,260-427-2167,,,
B001310-hammond,B001310,5400 Federal Plz,Suite 3200,Hammond,IN,46320-1840,41.61616,-87.51962,219-937-9650,,,
B001310-indianapolis,B001310,115 N Pennsylvania St,,Indianapolis,IN,46204-2410,39.76888,-86.15612,317-822-8240,317-822-8353,,
B001310-south_bend,B001310,205 W Colfax Ave,,South Bend,IN,46601-1606,41.67813,-86.25266,574-288-6302,,,
B001311-monroe,B001311,300 N Main Street,,Monroe,NC,28112,34.982986,-80.5499099,740-218-5300,844-273-1255,,
C000059-corona,C000059,400 S. Vicentia Ave.,Suite 125,Corona,CA,92882,33.8784386,-117.5759232,951-277-0042,951-277-0420,,
C000127-everett,C000127,2930 Wetmore Ave.,Suite 9B,Everett,WA,98201,47.9781562,-122.2076204,425-303-0114,425-303-8351,,
C000127-richland,C000127,825 Jadwin Ave.,Suite 206,Richland,WA,99352,46.2775762,-119.2760977,509-946-8106,509-946-6937,,
C000127-seattle,C000127,915 Second Ave.,Suite 3206,Seattle,WA,98174,47.6045895,-122.3354608,206-220-6400,206-220-6404,,
C000127-spokane,C000127,920 W. Riverside Ave.,Suite 697,Spokane,WA,99201,47.6585992,-117.4260094,509-353-2507,509-353-2547,,
C000127-tacoma,C000127,950 Pacific Ave.,Suite 615,Tacoma,WA,98402,47.2535757,-122.4390697,253-572-2281,253-572-5879,,
C000127-vancouver,C000127,1313 Officers Row,,Vancouver,WA,98661,45.628864,-122.6641029,360-696-7838,360-696-7844,,
C000141-baltimore,C000141,100 S. Charles St.,Suite 1710,Baltimore,MD,21201,39.2871649,-76.6156372,410-962-4436,410-962-4156,Tower 1,
C000141-bowie,C000141,10201 Martin Luther King Jr. Highway,Suite 210,Bowie,MD,20720,38.9550571,-76.82809809999999,301-860-0414,301-860-0416,,Monday - Friday: 9:00 AM - 5:00 PM
C000141-cumberland,C000141,13 Canal St.,Room 305,Cumberland,MD,21502,39.6495579,-78.76360249999999,301-777-2957,301-777-2959,,
C000141-rockville,C000141,451 Hungerford Dr.,Suite 230,Rockville,MD,20850,39.0895234,-77.1511348,301-762-2974,301-762-2976,,
C000141-salisbury,C000141,212 W. Main St.,Suite 301C,Salisbury,MD,21801,38.3652837,-75.6023764,410-546-4250,202-224-1651,Plaza Gallery Building,
C000174-dover,C000174,500 W. Loockerman St.,Suite 470,Dover,DE,19904,39.15666239999999,-75.5311574,302-674-3308,302-674-5464,,M-F 8:30 a.m. to 5:30 p.m.
C000174-georgetown,C000174,12 The Circle,,Georgetown,DE,19947,38.6902745,-75.3852914,302-856-7690,302-856-3001,,M-F 8:30 a.m. to 5:30 p.m.
C000174-wilmington,C000174,301 N. Walnut St.,Suite 102L-1,Wilmington,DE,19801-3974,39.739183,-75.5492666,302-573-6291,302-573-6434,,M-F 8:30 a.m. to 5:30 p.m.
C000266-cincinnati,C000266,441 Vine St.,Rm. 3003,Cincinnati,OH,45202,39.100836,-84.513238,513-684-2723,513-421-8722,,9 a.m. - 5 p.m.
C000266-lebanon,C000266,11 S. Broadway,,Lebanon,OH,45036,39.4341674,-84.2086104,513-421-8704,513-421-8722,,9am-5pm
C000537-columbia,C000537,1225 Lady St.,Suite 200,Columbia,SC,29201,34.0032484,-81.03302830000001,803-799-1100,803-799-9060,,Mon-Fri 9am-5pm
C000537-kingstree,C000537,130 W. Main St.,,Kingstree,SC,29556,33.6637604,-79.8313355,843-355-1211,843-355-1232,,Monday-Friday 9:00AM-5:00PM
C000537-santee,C000537,176 Brooks Blvd.,,Santee,SC,29142,33.4737478,-80.4819747,803-854-4700,803-854-4900,,Mon-Fri 9:00AM-5:00PM
C000754-nashville,C000754,605 Church St.,,Nashville,TN,37219,36.1623269,-86.7817797,615-736-5295,615-736-7479,,M-F 8am - 5pm
C000880-boise,C000880,251 E. Front St.,Suite 205,Boise,ID,83702,43.6086015,-116.1956172,208-334-1776,208-334-9044,,
C000880-coeur_d_alene,C000880,610 Hubbard Ave,Suite 209,Coeur d'Alene,ID,83814,47.6826921,-116.7920799,208-664-5490,208-664-0889,,
C000880-idaho_falls,C000880,410 Memorial Dr.,Suite 204,Idaho Falls,ID,83402,43.4936265,-112.0425928,208-522-9779,208-529-8367,,
C000880-lewiston,C000880,313 'D' St.,Suite 105,Lewiston,ID,83501,46.422158,-117.028638,208-743-1492,208-743-6484,,
C000880-pocatello,C000880,275 S. 5th Ave.,Suite 100,Pocatello,ID,83201,42.8649373,-112.4428822,208-236-6775,208-236-6935,,
C000880-twin_falls,C000880,202 Falls Ave.,Suite 2,Twin Falls,ID,83301,42.5776169,-114.47751,208-734-2515,208-733-0414,,
C001035-augusta,C001035,68 Sewall St.,Room 507,Augusta,ME,04330,44.310824,-69.783697,207-622-8414,,,
C001035-bangor,C001035,202 Harlow St.,Room 20100,Bangor,ME,04401,44.8046399,-68.7737891,207-945-0417,,,
C001035-biddeford,C001035,160 Main St.,,Biddeford,ME,04005,43.493177,-70.4548329,207-283-1101,,,
C001035-caribou,C001035,25 Sweden St.,Suite A,Caribou,ME,04736,46.860458,-68.013198,207-493-7873,,,
C001035-lewiston,C001035,55 Lisbon St.,,Lewiston,ME,04240,44.097439,-70.217972,207-784-6969,,,
C001035-portland,C001035,One Canal Plaza,Suite 802,Portland,ME,04101,43.6566885,-70.2551294,207-780-3575,,,
C001047-beckley,C001047,220 N. Kanawha St.,Suite 1,Beckley,WV,25801,37.779625,-81.188172,304-347-5372,,,Appointments are required at this location.
C001047-charleston,C001047,500 Virgina Street East,Suite 950,Charleston,WV,25301,38.3511449,-81.6380602,304-347-5372,,,
C001047-martinsburg,C001047,300 Foxcroft Ave.,Suite 202A,Martinsburg,WV,25401,39.4607489,-77.986887,304-262-9285,,,
C001047-morgantown,C001047,48 Donley St.,Suite 504,Morgantown,WV,26501,39.6256581,-79.96312549999999,304-292-2310,,,
C001051-round_rock,C001051,1717 North IH 35,Suite 303,Round Rock,TX,78664,30.5234565,-97.688835,512-246-1600,,,
C001051-temple,C001051,6544 S General Bruce Dr,B,Temple,TX,76502,31.0718016,-97.4233588,254-933-1392,,,
C001053-ada,C001053,100 E. 13th St.,Suite 213,Ada,OK,74820,34.7723614,-96.6790693,580-436-5375,580-436-5451,,
C001053-lawton,C001053,711 SW. D Ave.,Suite 201,Lawton,OK,73501,34.6044481,-98.3995211,580-357-2131,580-357-7477,,
C001053-norman,C001053,2424 Springer Dr.,Suite 201,Norman,OK,73069,35.2053158,-97.47880409999999,405-329-6500,405-321-7369,,
C001055-honolulu,C001055,1132 Bishop St,Suite 1910,Honolulu,HI,96813-2807,21.30973,-157.86005,808-650-6688,,,
C001056-austin,C001056,221 W. Sixth St.,Suite 1530,Austin,TX,78701,30.2681008,-97.7448471,512-469-6034,512-469-6020,Chase Tower,
C001056-dallas,C001056,5001 Spring Valley Rd.,Suite 1125 E,Dallas,TX,75244,32.9400414,-96.82359749999999,972-239-1310,972-239-2110,,
C001056-harlingen,C001056,222 E. Van Buren,Suite 404,Harlingen,TX,78550,26.1914148,-97.69402009999999,956-423-0162,956-423-0193,,
C001056-houston,C001056,5300 Memorial Dr.,Suite 980,Houston,TX,77007,29.7620629,-95.41595319999999,713-572-3337,713-572-3777,,
C001056-lubbock,C001056,1500 Broadway,Suite 1230,Lubbock,TX,79401,33.5849492,-101.8519083,806-472-7533,806-472-7536,Wells Fargo Center,
C001056-san_antonio,C001056,600 Navarro,Suite 210,San Antonio,TX,78205,29.4267857,-98.48957639999999,210-224-7485,210-224-8569,,
C001056-tyler,C001056,100 E. Ferguson St.,Suite 1004,Tyler,TX,75702,32.3522862,-95.30028709999999,903-593-0902,903-593-0920,Regions Bank Building,
C001059-fresno,C001059,855 M St.,Suite 940,Fresno,CA,93721,36.7345489,-119.7858717,559-495-1620,,,
C001059-merced,C001059,2222 M St.,Suite 305,Merced,CA,95340,37.3070723,-120.4812216,209-384-1620,,,
C001061-higginsville,C001061,1923 Main St,,Higginsville,MO,64037,39.0754557,-93.7170832,660-584-7373,660-584-7227,,Mon-Fri 8-5:00pm
C001061-independence,C001061,411 W Maple Ave,F,Independence,MO,64050-2840,39.09278,-94.4201,816-833-4545,816-833-2991,,M-F 9-6:00pm
C001061-kansas_city,C001061,101 W. 31 St.,,Kansas City,MO,64108,39.070874,-94.587124,816-842-4545,816-471-5215,,Mon-Fri 9:00am-6:00pm
C001063-laredo,C001063,602 E. Calton Rd.,Suite 2,Laredo,TX,78041,27.5423782,-99.4887937,956-725-0639,956-725-2647,,Monday - Friday 8:00 a.m. CST to 5:30 p.m. CST
